;CustomerID;NumberCarsOwned;TotalChildren;YearlyIncome;AvgMonthSpend;cluster;desc;Toys_interested;location
1;21173;3;-1;81916;50,97;2;Con quejas;si;norte
2;13249;2;-2;81076;53,11;4;Encantados;si;norte
3;29350;3;0;86387;54,08;2;Con quejas;si;norte
4;13503;2;-2;61481;56,93;4;Encantados;si;norte
5;22803;1;0;51804;55,41;1;Insatisfechos;no;norte
6;22092;2;-2;61944;49,31;4;Encantados;no;norte
7;11229;1;0;34919;56,01;1;Insatisfechos;no;norte
8;24179;1;0;61832;49,29;1;Insatisfechos;no;norte
9;12127;0;-2;83834;50,05;3;Felices;no;norte
10;19903;1;0;26880;54,15;1;Insatisfechos;no;norte
11;25924;1;0;77258;;2;Con quejas;no;norte
12;23033;3;0;102698;;2;Con quejas;no;norte
13;20029;1;-2;108198;;4;Encantados;no;norte
14;22031;2;-2;133762;;2;Con quejas;no;norte
15;23770;1;0;30526;;1;Insatisfechos;no;norte
16;23737;2;-2;56353;;3;Felices;no;norte
17;17127;3;-1;79019;;4;Encantados;no;norte
18;28130;2;0;55387;;1;Insatisfechos;no;norte
19;28455;2;-2;113276;58,69;2;Con quejas;no;norte
20;20161;1;-1;109259;52,3;2;Con quejas;no;norte
21;21325;0;-2;83845;50,38;3;Felices;no;norte
22;12128;0;-2;59527;53,22;4;Encantados;no;norte
23;23679;1;-1;108360;51,88;2;Con quejas;no;norte
24;26799;1;0;87504;49,72;1;Insatisfechos;no;norte
25;15726;0;0;55461;48,76;1;Insatisfechos;no;norte
26;15473;2;0;137464;52,03;2;Con quejas;no;norte
27;28685;2;-1;87676;49,89;2;Con quejas;no;norte
28;12302;3;-2;104187;51,15;2;Con quejas;no;norte
29;23523;1;0;78222;53,53;2;Con quejas;no;norte
30;18713;2;-1;77383;50,59;2;Con quejas;no;norte
31;24082;1;-2;60700;49,29;3;Felices;no;norte
32;27886;0;0;30913;49;1;Insatisfechos;no;norte
33;21711;2;0;86952;54,71;2;Con quejas;no;norte
34;22366;2;-2;58567;55,64;4;Encantados;no;norte
35;15010;0;0;77478;50,55;1;Insatisfechos;no;norte
36;22296;2;-1;78406;50,16;2;Con quejas;no;norte
37;23237;1;0;85318;51,02;1;Insatisfechos;no;norte
38;13832;0;0;52928;52,17;1;Insatisfechos;no;norte
39;26026;2;0;79224;52,31;2;Con quejas;no;norte
40;17813;0;-1;33076;53,13;1;Insatisfechos;no;norte
41;26369;1;-2;56641;48,89;3;Felices;no;norte
42;18824;0;-1;27203;52,46;1;Insatisfechos;no;norte
43;21064;3;0;77098;50,21;2;Con quejas;no;norte
44;28532;3;-2;103200;53,97;4;Encantados;no;norte
45;16183;2;0;53784;50,85;1;Insatisfechos;no;norte
46;25700;1;0;25826;47,53;1;Insatisfechos;no;norte
47;21746;0;-1;30925;50,48;3;Felices;no;norte
48;26560;1;-2;30288;50,57;3;Felices;no;norte
49;16988;0;0;34685;48,1;1;Insatisfechos;no;norte
50;18562;1;-1;58213;51,99;3;Felices;no;norte
51;14996;0;0;108342;51,43;1;Insatisfechos;no;norte
52;26741;2;-1;130385;55,52;4;Encantados;no;norte
53;19490;2;0;58227;50,76;1;Insatisfechos;no;norte
54;12720;1;0;52156;47,68;1;Insatisfechos;no;norte
55;14050;2;0;131458;57,1;2;Con quejas;no;norte
56;11926;1;0;33510;46,25;1;Insatisfechos;no;norte
57;28023;1;-1;56785;51,34;1;Insatisfechos;no;norte
58;22541;1;0;58201;51,29;1;Insatisfechos;no;norte
59;23192;2;-1;82359;49,64;2;Con quejas;no;norte
60;24957;2;-2;55654;50,98;3;Felices;no;norte
61;11867;1;-2;33167;58,85;4;Encantados;no;norte
62;11929;3;-1;107883;52,81;2;Con quejas;no;sur
63;27994;1;-2;80056;53,16;4;Encantados;no;sur
64;21068;2;0;54577;49,8;1;Insatisfechos;no;sur
65;26332;0;-1;36070;59,05;3;Felices;no;sur
66;20232;2;-2;54049;54,19;4;Encantados;no;sur
67;15029;1;0;112726;55,8;2;Con quejas;no;sur
68;28907;1;-2;29749;48,95;3;Felices;no;sur
69;11887;2;-2;56820;55,26;4;Encantados;no;sur
70;16809;3;0;102647;51,75;2;Con quejas;no;sur
71;18033;2;0;82258;51,48;2;Con quejas;no;sur
72;27605;1;-2;54200;55,34;4;Encantados;no;sur
73;14106;2;0;60908;51,97;2;Con quejas;no;sur
74;29293;2;0;105007;54,5;2;Con quejas;no;sur
75;17669;0;-1;32319;48,12;3;Felices;no;sur
76;23540;1;0;52311;57,27;2;Con quejas;no;sur
77;19710;2;0;82851;54,25;2;Con quejas;no;sur
78;21495;1;-2;29111;53,22;4;Encantados;no;sur
79;14773;1;-1;81985;52,19;4;Encantados;no;sur
80;29082;0;0;33954;46,19;1;Insatisfechos;no;sur
81;14021;0;0;29016;45,76;1;Insatisfechos;no;sur
82;23689;0;-2;33152;50,02;3;Felices;no;sur
83;13485;1;-2;80331;53,77;4;Encantados;no;sur
84;14179;1;-1;79235;51,62;3;Felices;no;sur
85;15084;1;0;35390;50,42;1;Insatisfechos;no;sur
86;27193;3;0;136457;52,17;2;Con quejas;no;sur
87;20423;1;0;53549;53,1;1;Insatisfechos;no;sur
88;18300;0;-2;85674;50,64;3;Felices;no;sur
89;21781;3;-2;129242;52,48;2;Con quejas;no;sur
90;28780;1;-2;61829;52,85;4;Encantados;no;sur
91;25162;3;0;111980;59,52;2;Con quejas;no;sur
92;26829;0;-1;54675;52,61;3;Felices;no;sur
93;11345;3;0;106648;53,81;2;Con quejas;no;sur
