Rank;Restaurant;Content;Sales; YOY_Sales ;Units; YOY_Units ;Headquarters;Segment_Category;Segment_Category_2
1;McDonald's;NA;40412; 0,05 ;13846; -0,01 ;NA;Quick Service & Burger;1
2;Starbucks;NA;21380; 0,09 ;15049; 0,03 ;NA;Quick Service & Coffee Cafe;2
3;Chick-fil-A;While Popeyes got a lot of the chicken buzz in 2019, Chick-fil-A had a busy year in its own right. On top of passing Taco Bell and Subway to become the nation's third-largest chain, it introduced dine-in mobile ordering, eliminated antibiotics from its chicken and added its first new permanent menu item in three years: mac and cheese.;11320; 0,13 ;2470; 0,05 ;NA;Quick Service & Chicken;3
4;Taco Bell;NA;11293; 0,09 ;6766; 0,03 ;NA;Quick Service & Mexican;4
5;Burger King;NA;10204; 0,03 ;7346; 0,00 ;NA;Quick Service & Burger;1
6;Subway;NA;10200; -0,02 ;23801; -0,04 ;NA;Quick Service & Sandwich;5
7;Wendy's;NA;9762; 0,04 ;5852; 0,01 ;NA;Quick Service & Burger;1
8;Dunkin';"Dunkin' dropped ""Donuts"" from its name and repositioned as a beverage-first concept, and it seems to have paid off, said Kevin Schimpf of Technomic. ""To have a good year while Starbucks is also still continuing to grow away, I think that was impressive for Dunkin',"" he said.";9228; 0,05 ;9630; 0,02 ;NA;Quick Service & Coffee Cafe;2
9;Domino's;NA;7044; 0,07 ;6126; 0,04 ;NA;Quick Service & Pizza;6
10;Panera Bread;NA;5890; 0,04 ;2160; 0,03 ;NA;Fast Casual & Bakery Cafe;7
11;Pizza Hut;The chain moved to replace underperforming dine-in restaurants with takeout- and delivery-only units in 2019, leading to a 2.4% decline in unit count. Executives said in August that unit count could drop to as low as 7,000 before returning to normal levels as units are converted.;5558; 0,01 ;7306; -0,02 ;NA;Quick Service & Pizza;6
12;Chipotle Mexican Grill;NA;5509; 0,15 ;2584; 0,05 ;NA;Fast Casual & Mexican;8
13;Sonic Drive-In;"The drive-in chain grew same-store sales for the second straight year under new parent Inspire Brands, which acquired Sonic in 2018. It kicked off 2020 with a refreshed look and tag line: ""This is how we Sonic.""";4687; 0,05 ;3526; -0,02 ;NA;Quick Service & Burger;1
14;KFC;NA;4546; 0,03 ;4065; -0,00 ;NA;Quick Service & Chicken;3
15;Olive Garden;Olive Garden became the nation's largest casual-dining chain, growing sales 5% in 2019. The Italian chain seems to have had success bucking the delivery trend, delivering only for large orders of at least $75. It has also been focused on training and staffing to improve the dine-in experience.;4287; 0,05 ;866; 0,01 ;NA;Casual Dining & Italian/Pizza;9
16;Applebee's;NA;4085; -0,03 ;1665; -0,02 ;NA;Casual Dining & Varied Menu;10
