id_oportunidad,id_estudiante,programa,etapa,fecha_afluencia,fecha_ganado,fecha_perdido,consultor,edad,estado_civil,ciudad,provincia,trabaja,colegio,tipo_admision,origen,enteraste
0068W00000RtT5E,-7959495189833833808,1P714,Cerrada Perdida,2022-01-20 00:00:00,,2022-02-11 00:00:00,36,25.0,Casado/a,QUITO,PICHINCHA,Si,1978,Normal,Whatsapp,Recomendado
0068W00000RulbV,8433271449132097132,1P734,Cerrada Perdida,2022-02-02 00:00:00,,2022-02-02 00:00:00,8,21.0,,QUITO,PICHINCHA,,1002,Normal,Simulador Homologación,
0061U00000NB058,681923597971309571,1P614,Cerrada Perdida,2021-07-22 00:00:00,,2021-07-28 00:00:00,15,19.0,,QUITO,PICHINCHA,No,18,Normal,Colegios,Mi colegio
0061U00000NjOPF,-1854769890286518797,1H003,Cerrada Perdida,2021-09-03 00:00:00,,2021-10-06 00:00:00,15,36.0,Casado/a,CHONE,MANABI,Si,1905,Convalidado,Llamada,Redes sociales
0061U00000Mm1LY,5707294226770007228,1P244,Cerrada Perdida,2021-06-10 00:00:00,,2021-07-29 00:00:00,16,25.0,Soltero/a,QUITO,PICHINCHA,No,94,Convalidado,Simulador Homologación,Aplicaciones
0061U00000N9fLq,-38233226575520674,1P704,Cerrada Perdida,2021-07-08 00:00:00,,2021-07-08 00:00:00,36,18.0,Soltero/a,QUITO,PICHINCHA,No,594,Normal,Formulario web,Recomendado
0061U00000NAnz7,5247298629409382967,1P704,Cerrada Perdida,2021-07-20 00:00:00,,2021-08-19 00:00:00,13,18.0,Soltero/a,QUITO,PICHINCHA,No,1093,Normal,Colegios,Recomendado
0061U00000Omx87,1601808973218813279,1P514,Afluente,2021-11-08 00:00:00,,,35,18.0,Soltero/a,QUITO,PICHINCHA,No,1385,Normal,Google Ad,Aplicaciones
0061U00000O4lrV,7110144707597691417,1P594,Cerrada Perdida,2021-09-08 00:00:00,,2021-09-08 00:00:00,22,19.0,,QUITO,PICHINCHA,Si,1120,Normal,Formulario web,
0061U00000O5RW0,7365137634967787005,1P791,Cerrada Perdida,2021-09-14 00:00:00,,2021-09-14 00:00:00,36,23.0,Soltero/a,QUITO,PICHINCHA,No,333,Normal,Llamada,Recomendado
